Ranking_PIB_2023;Região;No_Países;PIB_Total_2000_Bi;PIB_Total_2006_Bi;PIB_Total_2010_Bi;PIB_Total_2019_Bi;PIB_Total_2022_Bi;PIB_Total_2023_Bi;Crescimento_Médio_2023;PIBpc_Médio_2023;Inflação_Média;Pop_Total_Milhões;Crescimento_Acumulado_Região_%
1;Norte;6;267,4;419,2;655,3;714,5;983,0;867,0;-0,2;3864,3;17,6;254,0;224,2
2;Ocidental;7;198,2;289,8;462,5;643,0;702,2;743,5;4,3;1723,7;12,6;367,4;275,1
3;Austral;6;161,5;314,4;433,0;440,8;509,0;483,0;2,9;5932,8;55,5;101,1;199,1
4;Oriental;7;45,5;82,1;141,6;332,1;406,5;453,4;5,9;1146,0;12,8;365,3;896,5
5;Central;4;32,2;101,7;144,2;191,6;249,5;218,2;2,8;3623,8;11,4;164,9;577,6
